Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
32,tt0120912,2018-02-25,2018-02-25,,Men in Black II,https://www.imdb.com/title/tt0120912/,movie,6.2,88,2002,"Action, Adventure, Comedy, Mystery, Sci-Fi",360641,2002-07-03,Barry Sonnenfeld,,
33,tt3521126,2018-03-02,2018-03-02,,The Disaster Artist,https://www.imdb.com/title/tt3521126/,movie,7.3,104,2017,"Biography, Comedy, Drama",147589,2017-09-11,James Franco,,
34,tt1229340,2018-03-02,2018-03-02,,Anchorman 2: The Legend Continues,https://www.imdb.com/title/tt1229340/,movie,6.3,119,2013,Comedy,176282,2013-11-24,Adam McKay,,
35,tt0097576,2018-04-13,2018-04-13,,Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/,movie,8.2,127,1989,"Action, Adventure",726133,1989-05-24,Steven Spielberg,,
36,tt0087469,2018-04-13,2018-04-13,,Indiana Jones and the Temple of Doom,https://www.imdb.com/title/tt0087469/,movie,7.5,118,1984,"Action, Adventure",470669,1984-05-08,Steven Spielberg,,
37,tt0367882,2018-04-13,2018-04-13,,Indiana Jones and the Kingdom of the Crystal Skull,https://www.imdb.com/title/tt0367882/,movie,6.1,122,2008,"Action, Adventure",442089,2008-05-18,Steven Spielberg,,
38,tt0073486,2018-05-04,2018-05-04,,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,966105,1975-11-19,Milos Forman,,
39,tt0892791,2018-05-04,2018-05-04,,Shrek Forever After,https://www.imdb.com/title/tt0892791/,movie,6.3,93,2010,"Animation, Adventure, Comedy, Family, Fantasy, Romance",195916,2010-04-21,Mike Mitchell,,
40,tt2582802,2018-06-04,2018-06-04,,Whiplash,https://www.imdb.com/title/tt2582802/,movie,8.5,106,2014,"Drama, Music",780991,2014-01-16,Damien Chazelle,,
41,tt0332379,2018-06-06,2018-06-06,,School of Rock,https://www.imdb.com/title/tt0332379/,movie,7.1,109,2003,"Comedy, Music",295202,2003-09-09,Richard Linklater,,
42,tt0145660,2018-07-05,2018-07-05,,Austin Powers: The Spy Who Shagged Me,https://www.imdb.com/title/tt0145660/,movie,6.6,95,1999,"Action, Adventure, Comedy, Crime",226446,1999-06-08,Jay Roach,,
43,tt0295178,2018-07-05,2018-07-05,,Austin Powers in Goldmember,https://www.imdb.com/title/tt0295178/,movie,6.2,94,2002,"Action, Adventure, Comedy, Crime",204085,2002-07-22,Jay Roach,,
44,tt2316204,2018-07-05,2018-07-05,,Alien: Covenant,https://www.imdb.com/title/tt2316204/,movie,6.4,122,2017,"Horror, Sci-Fi, Thriller",269695,2017-05-04,Ridley Scott,,
45,tt0118583,2018-07-05,2018-07-05,,Alien: Resurrection,https://www.imdb.com/title/tt0118583/,movie,6.2,109,1997,"Action, Horror, Sci-Fi",240109,1997-11-06,Jean-Pierre Jeunet,,
46,tt1446714,2018-07-05,2018-07-05,,Prometheus,https://www.imdb.com/title/tt1446714/,movie,7.0,124,2012,"Adventure, Mystery, Sci-Fi",590794,2012-04-11,Ridley Scott,,
47,tt0374900,2018-07-15,2018-07-15,,Napoleon Dynamite,https://www.imdb.com/title/tt0374900/,movie,6.9,96,2004,Comedy,209643,2004-01-17,Jared Hess,,
48,tt1650554,2018-07-17,2018-07-17,,Kick-Ass 2,https://www.imdb.com/title/tt1650554/,movie,6.5,103,2013,"Action, Comedy, Crime, Thriller",264468,2013-08-14,Jeff Wadlow,,
