Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
135,tt3416828,2019-12-30,2019-12-30,,Ice Age: Collision Course,https://www.imdb.com/title/tt3416828/,movie,5.7,94,2016,"Animation, Adventure, Comedy, Family, Sci-Fi",62397,2016-06-19,"Galen T. Chu, Michael Thurmeier",,
136,tt1667889,2019-12-30,2019-12-30,,Ice Age: Continental Drift,https://www.imdb.com/title/tt1667889/,movie,6.5,88,2012,"Animation, Adventure, Comedy, Family",201498,2012-06-26,"Michael Thurmeier, Steve Martino",,
137,tt1049413,2019-12-30,2019-12-30,,Up,https://www.imdb.com/title/tt1049413/,movie,8.2,96,2009,"Animation, Adventure, Comedy, Drama, Family",990669,2009-05-13,"Pete Docter, Bob Peterson",,
138,tt2096673,2019-12-30,2019-12-30,,Inside Out,https://www.imdb.com/title/tt2096673/,movie,8.1,95,2015,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",666975,2015-05-18,"Pete Docter, Ronnie Del Carmen",,
139,tt0079417,2020-01-15,2020-01-15,,Kramer vs. Kramer,https://www.imdb.com/title/tt0079417/,movie,7.8,105,1979,Drama,140731,1979-12-07,Robert Benton,,
140,tt6517102,2020-03-17,2020-03-17,,Castlevania,https://www.imdb.com/title/tt6517102/,tvSeries,8.3,23,2017,"Animation, Action, Adventure, Drama, Fantasy, Horror",57781,2017-07-07,,,
141,tt1598778,2020-03-18,2020-03-18,,Contagion,https://www.imdb.com/title/tt1598778/,movie,6.8,106,2011,"Drama, Thriller",295922,2011-09-03,Steven Soderbergh,,
142,tt2741602,2020-03-20,2020-03-20,,The Blacklist,https://www.imdb.com/title/tt2741602/,tvSeries,8.0,43,2013,"Crime, Drama, Mystery, Thriller",228091,2013-09-23,,,
143,tt8550800,2020-03-23,2020-03-23,,The Outsider,https://www.imdb.com/title/tt8550800/,tvSeries,7.7,60,2020,"Crime, Drama, Fantasy, Mystery, Thriller",74113,2020-01-12,,,
144,tt10985510,2020-03-29,2020-03-29,,Superman: Red Son,https://www.imdb.com/title/tt10985510/,video,6.4,84,2020,"Animation, Action, Sci-Fi",13487,2020-02-24,Sam Liu,,
145,tt1439629,2020-04-02,2020-04-02,,Community,https://www.imdb.com/title/tt1439629/,tvSeries,8.5,22,2009,Comedy,242966,2009-09-16,,,
146,tt1001526,2020-04-16,2020-04-16,,Megamind,https://www.imdb.com/title/tt1001526/,movie,7.3,95,2010,"Animation, Action, Comedy, Crime, Family, Romance, Sci-Fi, Thriller",245968,2010-10-28,Tom McGrath,,
147,tt3655448,2020-04-18,2020-04-18,,The Young Pope,https://www.imdb.com/title/tt3655448/,tvMiniSeries,8.4,546,2016,Drama,41828,2016-09-03,,,
148,tt0213338,2020-04-23,2020-04-23,,Kaubôi bibappu,https://www.imdb.com/title/tt0213338/,tvSeries,8.9,24,1998,"Animation, Action, Adventure, Comedy, Drama, Sci-Fi",106627,1998-04-03,,,
149,tt7049682,2020-04-26,2020-04-26,,Watchmen,https://www.imdb.com/title/tt7049682/,tvMiniSeries,8.2,527,2019,"Crime, Drama, Mystery, Sci-Fi",107554,2019-10-20,,,
150,tt1048049,2020-05-04,2020-05-04,,Devil May Cry: Debiru mei kurai,https://www.imdb.com/title/tt1048049/,tvMiniSeries,7.1,288,2007,"Animation, Action, Fantasy, Horror",4980,2007-06-14,,,
151,tt0100507,2020-05-19,2020-05-19,,Rocky V,https://www.imdb.com/title/tt0100507/,movie,5.3,104,1990,"Drama, Sport",133361,1990-11-13,John G. Avildsen,,
152,tt0448115,2020-06-02,2020-06-02,,Shazam!,https://www.imdb.com/title/tt0448115/,movie,7.0,132,2019,"Action, Adventure, Comedy, Fantasy",304581,2019-03-25,David F. Sandberg,,
153,tt6315800,2020-06-02,2020-06-02,,Teen Titans: The Judas Contract,https://www.imdb.com/title/tt6315800/,video,7.0,84,2017,"Animation, Action, Adventure, Drama, Family, Fantasy, Sci-Fi",14200,2017-03-31,Sam Liu,,
154,tt7167686,2020-06-02,2020-06-02,,Reign of the Supermen,https://www.imdb.com/title/tt7167686/,movie,6.8,87,2019,"Animation, Action, Adventure, Family, Sci-Fi",13249,2019-01-10,Sam Liu,,
155,tt4378376,2020-06-03,2020-06-03,,Babylon Berlin,https://www.imdb.com/title/tt4378376/,tvSeries,8.4,45,2017,"Crime, Drama, Thriller",22247,2017-09-30,,,
156,tt11079148,2020-06-17,2020-06-17,,Justice League Dark: Apokolips War,https://www.imdb.com/title/tt11079148/,video,7.8,90,2020,"Animation, Action, Sci-Fi",20421,2020-05-05,"Christina Sotta, Matt Peters",,
157,tt7157248,2020-06-17,2020-06-17,,The New Pope,https://www.imdb.com/title/tt7157248/,tvMiniSeries,8.1,60,2019,Drama,14791,2020-01-10,,,
158,tt1013752,2020-06-27,2020-06-27,,Fast & Furious,https://www.imdb.com/title/tt1013752/,movie,6.6,107,2009,"Action, Crime, Thriller",277880,2009-03-12,Justin Lin,,
159,tt0994314,2020-07-04,2020-07-04,,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,https://www.imdb.com/title/tt0994314/,tvSeries,8.7,24,2006,"Animation, Action, Drama, Sci-Fi, Thriller",60264,2006-10-05,,,
160,tt0112159,2020-07-04,2020-07-04,,Shin seiki evangerion,https://www.imdb.com/title/tt0112159/,tvSeries,8.5,24,1995,"Animation, Action, Drama, Sci-Fi",60904,1995-10-04,,,
161,tt0101452,2020-07-17,2020-07-17,,Bill & Ted's Bogus Journey,https://www.imdb.com/title/tt0101452/,movie,6.3,93,1991,"Adventure, Comedy, Fantasy, Music, Sci-Fi",73940,1991-07-19,Peter Hewitt,,
162,tt1312171,2020-08-02,2020-08-02,,The Umbrella Academy,https://www.imdb.com/title/tt1312171/,tvSeries,8.0,60,2019,"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",190418,2019-02-15,,,
163,tt1655442,2020-08-18,2020-08-18,,The Artist,https://www.imdb.com/title/tt1655442/,movie,7.9,100,2011,"Comedy, Drama, Romance",237439,2011-05-15,Michel Hazanavicius,,
164,tt1560220,2020-09-16,2020-09-16,,Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,movie,6.7,99,2019,"Action, Comedy, Horror",165862,2019-10-09,Ruben Fleischer,,
165,tt0363771,2020-09-17,2020-09-17,,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com/title/tt0363771/,movie,6.9,143,2005,"Adventure, Family, Fantasy",383868,2005-12-07,Andrew Adamson,,
166,tt0117381,2020-09-26,2020-09-26,,Primal Fear,https://www.imdb.com/title/tt0117381/,movie,7.7,129,1996,"Crime, Drama, Mystery, Thriller",203780,1996-04-01,Gregory Hoblit,,
167,tt3718778,2020-09-26,2020-09-26,,Over the Garden Wall,https://www.imdb.com/title/tt3718778/,tvMiniSeries,8.8,22,2014,"Animation, Adventure, Drama, Family, Fantasy, Horror, Musical, Mystery, Thriller",48799,2014-11-03,,,
168,tt0101272,2020-10-03,2020-10-03,,The Addams Family,https://www.imdb.com/title/tt0101272/,movie,6.9,99,1991,"Comedy, Fantasy",148231,1991-11-19,Barry Sonnenfeld,,
169,tt5700672,2020-10-16,2020-10-16,,Busanhaeng,https://www.imdb.com/title/tt5700672/,movie,7.6,118,2016,"Action, Horror, Thriller",198491,2016-05-13,Sang-ho Yeon,,
170,tt0096697,2020-11-28,2020-11-28,,The Simpsons,https://www.imdb.com/title/tt0096697/,tvSeries,8.6,22,1989,"Animation, Short, Comedy",386955,1989-12-17,,,
171,tt0121955,2020-11-28,2020-11-28,,South Park,https://www.imdb.com/title/tt0121955/,tvSeries,8.7,22,1997,"Animation, Comedy",350675,1997-08-13,,,
172,tt0182576,2020-11-28,2020-11-28,,Family Guy,https://www.imdb.com/title/tt0182576/,tvSeries,8.1,22,1999,"Animation, Comedy",320460,1999-01-31,,,
173,tt0149460,2020-11-28,2020-11-28,,Futurama,https://www.imdb.com/title/tt0149460/,tvSeries,8.4,22,1999,"Animation, Adventure, Comedy, Sci-Fi",224684,1999-03-28,,,
174,tt1148204,2020-12-20,2020-12-20,,Orphan,https://www.imdb.com/title/tt1148204/,movie,7.0,123,2009,"Horror, Mystery, Thriller",206917,2009-07-21,Jaume Collet-Serra,,
175,tt0099810,2020-12-23,2020-12-23,,The Hunt for Red October,https://www.imdb.com/title/tt0099810/,movie,7.6,135,1990,"Action, Adventure, Thriller",191451,1990-03-02,John McTiernan,,
176,tt1734537,2021-01-08,2021-01-08,,Agatha Christie's Marple,https://www.imdb.com/title/tt1734537/,tvSeries,7.8,93,2004,"Crime, Drama, Mystery",7629,2004-12-12,,,
177,tt0113189,2021-01-13,2021-01-13,,GoldenEye,https://www.imdb.com/title/tt0113189/,movie,7.2,130,1995,"Action, Adventure, Thriller",250750,1995-11-13,Martin Campbell,,
178,tt7349662,2021-01-19,2021-01-19,,BlacKkKlansman,https://www.imdb.com/title/tt7349662/,movie,7.5,135,2018,"Biography, Comedy, Crime, Drama",247888,2018-05-14,Spike Lee,,
179,tt3741700,2021-01-24,2021-01-24,,Godzilla: King of the Monsters,https://www.imdb.com/title/tt3741700/,movie,6.0,132,2019,"Action, Adventure, Fantasy, Sci-Fi",170873,2019-05-29,Michael Dougherty,5,2021-04-11
180,tt0889583,2021-01-25,2021-01-25,,Brüno,https://www.imdb.com/title/tt0889583/,movie,5.8,81,2009,Comedy,147349,2009-06-25,Larry Charles,,
181,tt11161474,2021-01-29,2021-01-29,,Pieces of a Woman,https://www.imdb.com/title/tt11161474/,movie,7.1,126,2020,Drama,45661,2020-09-04,Kornél Mundruczó,,
182,tt7440726,2021-02-15,2021-02-15,,Your Honor,https://www.imdb.com/title/tt7440726/,tvSeries,7.6,57,2020,"Crime, Drama, Thriller",41269,2020-12-06,,,
183,tt13143964,2021-02-18,2021-02-18,,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,https://www.imdb.com/title/tt13143964/,movie,6.6,95,2020,Comedy,132965,2020-10-23,Jason Woliner,,
184,tt0087843,2021-02-18,2021-02-18,,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/,movie,8.3,229,1984,"Crime, Drama",335215,1984-05-20,Sergio Leone,,
185,tt0286486,2021-03-12,2021-03-12,,The Shield,https://www.imdb.com/title/tt0286486/,tvSeries,8.7,47,2002,"Crime, Drama, Thriller",77367,2002-03-12,,,
186,tt7137906,2021-03-16,2021-03-16,,When They See Us,https://www.imdb.com/title/tt7137906/,tvMiniSeries,8.9,296,2019,"Biography, Crime, Drama, History",109175,2019-05-31,,,
187,tt0015648,2021-03-24,2021-03-24,,Bronenosets Potemkin,https://www.imdb.com/title/tt0015648/,movie,8.0,75,1925,"Drama, History, Thriller, War",56205,1925-11-12,Sergei M. Eisenstein,,
188,tt1104001,2021-04-11,2021-04-11,,Tron,https://www.imdb.com/title/tt1104001/,movie,6.8,125,2010,"Action, Adventure, Sci-Fi",326192,2010-11-30,Joseph Kosinski,,
189,tt3450958,2021-04-11,2021-04-11,,War for the Planet of the Apes,https://www.imdb.com/title/tt3450958/,movie,7.4,140,2017,"Action, Adventure, Drama, Sci-Fi, Thriller",243208,2017-07-07,Matt Reeves,,
190,tt2103281,2021-04-11,2021-04-11,,Dawn of the Planet of the Apes,https://www.imdb.com/title/tt2103281/,movie,7.6,130,2014,"Action, Adventure, Drama, Sci-Fi, Thriller",426775,2014-06-26,Matt Reeves,,
191,tt1028528,2021-04-18,2021-04-18,,Death Proof,https://www.imdb.com/title/tt1028528/,movie,7.0,127,2007,"Action, Thriller",282087,2007-05-22,Quentin Tarantino,,
192,tt6741278,2021-04-19,2021-04-19,,Invincible,https://www.imdb.com/title/tt6741278/,tvSeries,8.7,50,2021,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller",100678,2021-03-25,,9,2021-05-10
193,tt7985576,2021-04-19,2021-04-19,,The Serpent,https://www.imdb.com/title/tt7985576/,tvMiniSeries,7.6,58,2021,"Crime, Drama, Thriller",39284,2021-01-01,,,
194,tt0059749,2021-04-19,2021-04-19,,The Spy Who Came in from the Cold,https://www.imdb.com/title/tt0059749/,movie,7.6,112,1965,"Drama, Thriller",16485,1965-05-26,Martin Ritt,,
195,tt0430357,2021-04-19,2021-04-19,,Miami Vice,https://www.imdb.com/title/tt0430357/,movie,6.0,132,2006,"Action, Crime, Drama, Thriller",114665,2006-07-20,Michael Mann,,
196,tt0084787,2021-04-21,2021-04-21,,The Thing,https://www.imdb.com/title/tt0084787/,movie,8.1,109,1982,"Horror, Mystery, Sci-Fi",400242,1982-06-25,John Carpenter,,
197,tt0056801,2021-04-21,2021-04-21,,8½,https://www.imdb.com/title/tt0056801/,movie,8.0,138,1963,Drama,114756,1963-01-02,Federico Fellini,,
198,tt4857264,2021-04-21,2021-04-21,,Contratiempo,https://www.imdb.com/title/tt4857264/,movie,8.1,106,2016,"Crime, Drama, Mystery, Thriller",164809,2016-09-23,Oriol Paulo,,
199,tt0443706,2021-04-21,2021-04-21,,Zodiac,https://www.imdb.com/title/tt0443706/,movie,7.7,157,2007,"Crime, Drama, Mystery, Thriller",508529,2007-02-28,David Fincher,,
200,tt0119094,2021-04-21,2021-04-21,,Face/Off,https://www.imdb.com/title/tt0119094/,movie,7.2,138,1997,"Action, Crime, Sci-Fi, Thriller",364122,1997-06-19,John Woo,,
201,tt0054215,2021-04-21,2021-04-21,,Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",640678,1960-06-16,Alfred Hitchcock,,
202,tt0034583,2021-04-21,2021-04-21,,Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",549793,1942-11-26,Michael Curtiz,,
203,tt5595168,2021-04-24,2021-04-24,,Kingsglaive: Final Fantasy XV,https://www.imdb.com/title/tt5595168/,movie,6.8,110,2016,"Animation, Action, Adventure, Drama, Family, Fantasy, Sci-Fi",21248,2016-07-09,Takeshi Nozue,,
204,tt0211915,2021-04-25,2021-04-25,,Le fabuleux destin d'Amélie Poulain,https://www.imdb.com/title/tt0211915/,movie,8.3,122,2001,"Comedy, Romance",732196,2001-04-25,Jean-Pierre Jeunet,,
205,tt0414993,2021-04-27,2021-04-27,,The Fountain,https://www.imdb.com/title/tt0414993/,movie,7.2,97,2006,"Drama, Mystery, Romance, Sci-Fi",235258,2006-09-04,Darren Aronofsky,,
206,tt0369179,2021-04-30,2021-04-30,,Two and a Half Men,https://www.imdb.com/title/tt0369179/,tvSeries,7.0,22,2003,"Comedy, Romance",252541,2003-09-22,,,
207,tt0898266,2021-04-30,2021-04-30,,The Big Bang Theory,https://www.imdb.com/title/tt0898266/,tvSeries,8.1,22,2007,"Comedy, Romance",765116,2006-05-01,,,
208,tt0166924,2021-05-14,2021-05-14,,Mulholland Dr.,https://www.imdb.com/title/tt0166924/,movie,7.9,147,2001,"Drama, Mystery, Thriller",342073,2001-05-16,David Lynch,,
209,tt0098936,2021-05-14,2021-05-14,,Twin Peaks,https://www.imdb.com/title/tt0098936/,tvSeries,8.8,47,1990,"Crime, Drama, Mystery, Thriller",187985,1989-09-28,,,
210,tt2397535,2021-05-19,2021-05-19,,Predestination,https://www.imdb.com/title/tt2397535/,movie,7.5,97,2014,"Action, Drama, Sci-Fi, Thriller",270741,2014-03-08,"Michael Spierig, Peter Spierig",,
211,tt0452623,2021-05-23,2021-05-23,,Gone Baby Gone,https://www.imdb.com/title/tt0452623/,movie,7.6,114,2007,"Crime, Drama, Mystery, Thriller",265430,2007-09-05,Ben Affleck,,
212,tt6644200,2021-05-24,2021-05-24,,A Quiet Place,https://www.imdb.com/title/tt6644200/,movie,7.5,90,2018,"Drama, Horror, Sci-Fi",491654,2018-03-09,John Krasinski,,
213,tt0245910,2021-06-09,2021-06-09,,Ftina tsigara,https://www.imdb.com/title/tt0245910/,movie,7.5,85,2000,"Comedy, Romance",3158,2000-11-15,Renos Haralambidis,,
214,tt7658402,2021-06-16,2021-06-16,,Harley Quinn,https://www.imdb.com/title/tt7658402/,tvSeries,8.5,23,2019,"Animation, Action, Adventure, Comedy, Crime, Fantasy, Mystery, Sci-Fi",20807,2019-11-29,,,
215,tt0290978,2021-06-24,2021-06-24,,The Office,https://www.imdb.com/title/tt0290978/,tvSeries,8.5,30,2001,"Comedy, Drama",106287,2001-07-09,,,
216,tt0109686,2021-07-21,2021-07-21,,Dumb and Dumber,https://www.imdb.com/title/tt0109686/,movie,7.3,107,1994,Comedy,370918,1994-12-06,"Bobby Farrelly, Peter Farrelly",,
217,tt10986410,2021-07-24,2021-07-24,,Ted Lasso,https://www.imdb.com/title/tt10986410/,tvSeries,8.8,30,2020,"Comedy, Drama, Sport",150522,2020-08-14,,,
218,tt0069293,2021-08-19,2021-08-19,,Solyaris,https://www.imdb.com/title/tt0069293/,movie,8.0,167,1972,"Drama, Mystery, Sci-Fi",87988,1972-02-05,Andrei Tarkovsky,,
219,tt0109445,2021-08-20,2021-08-20,,Clerks,https://www.imdb.com/title/tt0109445/,movie,7.7,92,1994,Comedy,217912,1994-01-31,Kevin Smith,,
220,tt0458481,2021-09-23,2021-09-23,,Sin City: A Dame to Kill For,https://www.imdb.com/title/tt0458481/,movie,6.5,102,2014,"Action, Crime, Thriller",158234,2014-08-19,"Frank Miller, Robert Rodriguez",,
221,tt0500092,2021-09-30,2021-09-30,,Serial Experiments Lain,https://www.imdb.com/title/tt0500092/,tvMiniSeries,8.1,316,1998,"Animation, Drama, Horror, Mystery, Sci-Fi",12511,1998-07-06,,,
222,tt1910272,2021-09-30,2021-09-30,,Steins;Gate,https://www.imdb.com/title/tt1910272/,tvSeries,8.8,24,2011,"Animation, Comedy, Drama, Romance, Sci-Fi, Thriller",54218,2011-03-06,,,
223,tt1843303,2021-09-30,2021-09-30,,The VelociPastor,https://www.imdb.com/title/tt1843303/,movie,5.1,75,2018,"Action, Adventure, Comedy, Fantasy, Horror, Sci-Fi, Thriller",5038,2018-08-31,Brendan Steere,,
224,tt10574558,2021-10-06,2021-10-06,,Midnight Mass,https://www.imdb.com/title/tt10574558/,tvMiniSeries,7.7,450,2021,"Drama, Fantasy, Horror, Mystery",87198,2021-09-22,,,
225,tt0884328,2021-10-06,2021-10-06,,The Mist,https://www.imdb.com/title/tt0884328/,movie,7.1,126,2007,"Horror, Sci-Fi, Thriller",294828,2007-11-12,Frank Darabont,,
226,tt0084516,2021-10-06,2021-10-06,,Poltergeist,https://www.imdb.com/title/tt0084516/,movie,7.3,114,1982,"Horror, Thriller",155619,1982-06-04,Tobe Hooper,,
227,tt1457767,2021-10-06,2021-10-06,,The Conjuring,https://www.imdb.com/title/tt1457767/,movie,7.5,112,2013,"Horror, Mystery, Thriller",481951,2013-06-08,James Wan,,
228,tt7660850,2021-10-22,2021-10-22,,Succession,https://www.imdb.com/title/tt7660850/,tvSeries,8.8,60,2018,Drama,100292,2018-06-02,,,
229,tt10168312,2021-10-23,2021-10-23,,What If...?,https://www.imdb.com/title/tt10168312/,tvSeries,7.5,,2021,"Animation, Action, Adventure, Sci-Fi",78045,2021-08-11,,,
230,tt0437086,2021-11-07,2021-11-07,,Alita: Battle Angel,https://www.imdb.com/title/tt0437086/,movie,7.3,122,2019,"Action, Adventure, Sci-Fi, Thriller",252249,2019-01-31,Robert Rodriguez,,
231,tt0396171,2021-11-12,2021-11-12,,Perfume: The Story of a Murderer,https://www.imdb.com/title/tt0396171/,movie,7.5,147,2006,"Crime, Drama, Fantasy",243409,2006-09-07,Tom Tykwer,,
232,tt0103584,2021-11-13,2021-11-13,,X-Men,https://www.imdb.com/title/tt0103584/,tvSeries,8.4,23,1992,"Animation, Action, Family, Sci-Fi",40474,1992-10-31,,,
233,tt0267913,2021-11-20,2021-11-20,,Scooby-Doo,https://www.imdb.com/title/tt0267913/,movie,5.2,89,2002,"Adventure, Comedy, Family, Fantasy, Mystery",107082,2002-06-08,Raja Gosnell,,
234,tt1865718,2021-12-03,2021-12-03,,Gravity Falls,https://www.imdb.com/title/tt1865718/,tvSeries,8.9,23,2012,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Horror, Mystery, Sci-Fi, Thriller",90073,2012-06-14,,,
235,tt2872718,2021-12-17,2021-12-17,,Nightcrawler,https://www.imdb.com/title/tt2872718/,movie,7.8,117,2014,"Crime, Drama, Thriller",506767,2014-09-05,Dan Gilroy,,
236,tt3581652,2021-12-24,2021-12-24,,West Side Story,https://www.imdb.com/title/tt3581652/,movie,7.9,156,2021,"Crime, Drama, Musical, Romance",20613,2021-11-29,Steven Spielberg,,
237,tt10160804,2021-12-24,2021-12-24,,Hawkeye,https://www.imdb.com/title/tt10160804/,tvMiniSeries,7.8,60,2021,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi",88146,2021-11-11,,,
238,tt11286314,2021-12-24,2021-12-24,,Don't Look Up,https://www.imdb.com/title/tt11286314/,movie,7.3,138,2021,"Comedy, Drama, Sci-Fi",230491,2021-12-08,Adam McKay,,
239,tt8847712,2021-12-27,2021-12-27,,The French Dispatch,https://www.imdb.com/title/tt8847712/,movie,7.4,107,2021,"Comedy, Drama, Romance",55603,2021-07-12,Wes Anderson,,
240,tt4244994,2021-12-27,2021-12-27,,The Last Duel,https://www.imdb.com/title/tt4244994/,movie,7.4,152,2021,"Action, Drama, History, Thriller",75490,2021-09-10,Ridley Scott,,
